cid,firstlast,lastname,office,gender,first_elected,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,feccandid,twitter_id,youtube_url,facebook_id,birthdate
N00050596,Jared Moskowitz,Moskowitz,FL23,M,2022,,,,,,,,,,,,
N00030650,Frederica Wilson,Wilson,FL24,F,2010,202-225-4506,202-226-0777,https://wilson.house.gov,https://wilsonforms.house.gov/contact-form,2445 Rayburn House Office Building,W000808,17319,H0FL17068,RepWilson,https://youtube.com/repfredericawilson,RepWilson,1942-11-05
N00026106,Debbie Wasserman Schultz,Schultz,FL25,F,2004,202-225-7931,202-226-2052,https://wassermanschultz.house.gov,http://wassermanschultz.house.gov/contact/email-me.shtml,1114 Longworth House Office Building,W000797,24301,H4FL20023,RepDWStweets,https://youtube.com/RepWassermanSchultz,RepDWS,1966-09-27
N00025337,Mario Diaz-Balart,Diaz-Balart,FL26,M,2002,202-225-4211,202-225-8576,http://mariodiazbalart.house.gov,http://mariodiazbalart.house.gov/contact-mario/write-rep-diaz-balart,440 Cannon House Office Building,D000600,24312,H2FL25018,MarioDB,https://youtube.com/MarioDiazBalart,mdiazbalart,1961-09-25
N00042810,Maria Salazar,Salazar,FL27,F,2020,202225-3931,,https://salazar.house.gov/,,"1616 Longworth House Office Building Washington, DC  20515",S000168,182300,,@RepMariaSalazar,,,11/01/61
N00046394,Carlos Gimenez,Gimenez,FL28,M,2020,202225-2778,,https://gimenez.house.gov/,,"419 Cannon House Office Building Washington, DC  20515",G000593,81366,,@RepCarlos,,RepCarlosGimenez,01/17/54
N00043290,Rick Scott,Scott,FLS1,M,2018,,,,,,S001217,,,,,,1952-12-01
N00030612,Marco Rubio,Rubio,FLS2,M,2010,202-224-3041,202-228-0285,https://www.rubio.senate.gov,http://www.rubio.senate.gov/public/index.cfm/contact,284 Russell Senate Office Building,R000595,1601,S0FL00338,SenRubioPress,https://youtube.com/SenatorMarcoRubio,SenatorMarcoRubio,1971-05-28
N00035346,Buddy Carter,Carter,GA01,M,2014,202-225-5831,202-226-2269,http://buddycarter.house.gov,,432 Cannon House Office Building,C001103,,H4GA01039,RepBuddyCarter,,congressmanbuddycarter,1957-09-06
N00002674,Sanford Bishop,Bishop,GA02,M,1992,202-225-3631,202-225-2203,http://bishop.house.gov,http://bishop.house.gov/contact,2407 Rayburn House Office Building,B000490,26817,H2GA02031,SanfordBishop,https://youtube.com/RepSanfordBishop,sanfordbishop,1947-02-04
N00039090,Drew Ferguson,Ferguson,GA03,M,2016,202-225-5901,,https://ferguson.house.gov,,1032 Longworth House Office Building,F000465,,,RepDrewFerguson,,RepDrewFerguson,1967-11-15
N00027848,Hank Johnson,Johnson,GA04,M,2006,202-225-1605,202-226-0691,https://hankjohnson.house.gov,https://hankjohnson.house.gov/contact-me/email-me,2240 Rayburn House Office Building,J000288,68070,H6GA04129,RepHankJohnson,https://youtube.com/RepHankJohnson,RepHankJohnson,1954-10-02
N00047361,Nikema Williams,Williams,GA05,F,2020,202225-3801,,https://nikemawilliams.house.gov/,,"1406 Longworth House Office Building Washington, DC  20515",W000788,,,@RepNikema,,,07/30/78
N00044520,Richard McCormick,Mccormick,GA06,M,2022,,,,,,,,,,,,
N00042813,Lucy McBath,McBath,GA07,F,2018,202-225-4501,,https://mcbath.house.gov/,,1513 Longworth House Office Building,M001208,,,,,,1960-06-01
N00032457,Austin Scott,Scott,GA08,M,2010,202-225-6531,202-225-3013,https://austinscott.house.gov,https://austinscott.house.gov/email-me/,2417 Rayburn House Office Building,S001189,11812,H0GA08099,AustinScottGA08,https://youtube.com/RepAustinScott,RepAustinScott,1969-12-10
N00046654,Andrew Clyde,Clyde,GA09,M,2020,202225-9893,202226-1224,https://clyde.house.gov/,,"521 Cannon House Office Building Washington, DC  20515",C001116,,,,,CongressmanClyde,11/22/63
N00035370,Mike Collins,Collins,GA10,M,2022,,,,,,,,,,,,
N00035347,Barry Loudermilk,Loudermilk,GA11,M,2014,202-225-2931,202-225-2944,http://loudermilk.house.gov,,329 Cannon House Office Building,L000583,,H4GA11061,RepLoudermilk,,reploudermilk,1963-12-22
N00033720,Richard W Allen,Allen,GA12,M,2014,202-225-2823,202-225-3377,http://allen.house.gov,,426 Cannon House Office Building,A000372,,H0GA02241,reprickallen,,CongressmanRickAllen,1951-11-07
N00024871,David Scott,Scott,GA13,M,2002,202-225-2939,202-225-4628,http://davidscott.house.gov,https://davidscott.house.gov/contact/contactform.htm,225 Cannon House Office Building,S001157,7826,H2GA13012,RepDavidScott,https://youtube.com/RepDavidScott,113303673339,1945-06-27
N00044701,Marjorie Taylor Greene,Greene,GA14,F,2020,202225-5211,,https://greene.house.gov/,,"1023 Longworth House Office Building Washington, DC  20515",G000596,,,@RepMTG,,,05/27/74
N00040675,Jon Ossoff,Ossoff,GAS1,M,2021,202-224-3521,,https://www.ossoff.senate.gov/,,"Hart Senate Office Building Suite 825 B&C    Washington, DC 20510",O000174,,,@ossoff,,,02/16/87
N00046489,Raphael Warnock,Warnock,GAS2,M,2021,202224-3643,,https://www.warnock.senate.gov/,,"Dirksen Senate Office Building Suite B40D  Washington, DC 20510",W000790,,,@SenatorWarnock,,,07/23/69
N00025882,Ed Case,Case,HI01,M,2018,202-225-2726,,https://case.house.gov,,2443 Rayburn House Office Building,C001055,,,,,,1952-09-27
N00051049,Jill Tokuda,Tokuda,HI02,F,2022,,,,,,,,,,,,
N00028138,Brian Schatz,Schatz,HIS1,M,2012,202-224-3934,202-228-1153,https://www.schatz.senate.gov,https://www.schatz.senate.gov/contact,722 Hart Senate Office Building,S001194,17852,S4HI00136,SenBrianSchatz,https://youtube.com/senbrianschatz,SenBrianSchatz,1972-10-20
N00028139,Mazie K Hirono,Hirono,HIS2,F,2012,202-224-6361,202-225-4987,https://www.hirono.senate.gov,https://www.hirono.senate.gov/contact,730 Hart Senate Office Building,H001042,1677,H6HI02251,MazieHirono,https://youtube.com/CongresswomanHirono,senatorhirono,1947-11-03
N00041335,Russ Fulcher,Fulcher,ID01,M,2018,202-225-6611,,https://fulcher.house.gov/,,1520 Longworth House Office Building,F000469,,,RepRussFulcher,,,1973-07-19
N00006263,Mike Simpson,Simpson,ID02,M,1998,202-225-5531,202-225-8216,http://simpson.house.gov,http://simpson.house.gov/contact/,2084 Rayburn House Office Building,S001148,2917,H8ID02064,CongMikeSimpson,https://youtube.com/CongMikeSimpson,96007744606,1950-09-08
N00029441,James E Risch,Risch,IDS1,M,2008,202-224-2752,202-224-2573,https://www.risch.senate.gov,http://www.risch.senate.gov/public/index.cfm?p=Email,483 Russell Senate Office Building,R000584,2919,S8ID00092,SenatorRisch,https://youtube.com/SenatorJamesRisch,SenatorJimRisch,1943-05-03
N00006267,Mike Crapo,Crapo,IDS2,M,1998,202-224-6142,202-228-1375,https://www.crapo.senate.gov,http://www.crapo.senate.gov/contact/email.cfm,239 Dirksen Senate Office Building,C000880,26830,S8ID00027,MikeCrapo,https://youtube.com/senatorcrapo,mikecrapo,1951-05-20
N00050105,Jonathan Jackson,Jackson,IL01,M,2022,,,,,,,,,,,,
N00035215,Robin Kelly,Kelly,IL02,F,2013,202-225-0773,202-225-4583,https://robinkelly.house.gov,https://robinkelly.house.gov/contact/email-me,1239 Longworth House Office Building,K000385,33384,H2IL02172,RepRobinKelly,,reprobinkelly,1956-04-30
N00049548,Delia Ramirez,Ramirez,IL03,F,2022,,,,,,,,,,,,
N00042114,Jesus Garcia,Garcia,IL04,M,2018,202-225-8203,,https://jesusgarcia.house.gov/,,530 Cannon House Office Building,G000586,,,,,,1956-04-12
N00030581,Mike Quigley,Quigley,IL05,M,2009,202-225-4061,202-225-5603,https://quigley.house.gov,https://quigleyforms.house.gov/forms/writeyourrep/,2458 Rayburn House Office Building,Q000023,83310,H0IL05096,RepMikeQuigley,https://youtube.com/RepMikeQuigley,repmikequigley,1958-10-17
N00041338,Sean Casten,Casten,IL06,M,2018,202-225-4561,,https://casten.house.gov/,,429 Cannon House Office Building,C001117,,,,,,1971-11-23
N00004884,Danny K Davis,Davis,IL07,M,1996,202-225-5006,202-225-5641,https://davis.house.gov,https://davis.house.gov/email-me,2159 Rayburn House Office Building,D000096,233,H4IL07037,RepDannyDavis,https://youtube.com/dannykdavis07,280757931935749,1941-09-06
N00033240,Raja Krishnamoorthi,Krishnamoorthi,IL08,M,2016,202-225-3711,,https://krishnamoorthi.house.gov,,515 Cannon House Office Building,K000391,,,congressmanraja,,congressmanraja,1973-07-19
N00004724,Jan Schakowsky,Schakowsky,IL09,F,1998,202-225-2111,202-226-6890,https://schakowsky.house.gov,https://schakowsky.house.gov/write-to-congresswoman-jan-schakowsky,2367 Rayburn House Office Building,S001145,6387,H8IL09067,JanSchakowsky,https://youtube.com/repschakowsky,janschakowsky,1944-05-26
N00033101,Brad Schneider,Schneider,IL10,M,2016,202-225-4835,202-225-0837,https://schneider.house.gov,,1432 Longworth House Office Building,S001190,,,repschneider,,CongressmanBradSchneider,1961-08-20
N00029139,Bill Foster,Foster,IL11,M,2012,202-225-3515,202-225-9420,http://foster.house.gov,https://foster.house.gov/contact/email-me,1224 Longworth House Office Building,F000454,101632,H8IL14067,RepBillFoster,https://youtube.com/RepBillFoster,CongressmanBillFoster,1955-10-07
N00035420,Mike Bost,Bost,IL12,M,2014,202-225-5661,202-225-0285,https://bost.house.gov,,1440 Longworth House Office Building,B001295,,H4IL12060,RepBost,,RepBost,1960-12-30
N00049102,Nikki Budzinski,Budzinski,IL13,F,2022,,,,,,,,,,,,
N00041569,Lauren A Underwood,Underwood,IL14,F,2018,202-225-2976,,https://underwood.house.gov/,,1118 Longworth House Office Building,U000040,,,RepUnderwood,,,1986-10-04
N00045703,Mary Miller,Miller,IL15,F,2020,202225-5271,,https://marymiller.house.gov/,,"1529 Longworth House Office Building Washington, DC  20515",M001211,,,@RepMaryMiller,,,08/07/59
N00037031,Darin LaHood,Lahood,IL16,M,2015,202-225-6201,,https://lahood.house.gov,,1424 Longworth House Office Building,L000585,,,RepLaHood,,replahood,1968-07-05
N00049558,Eric Sorensen,Sorensen,IL17,M,2022,,,,,,,,,,,,
N00004981,Dick Durbin,Durbin,ILS1,M,1996,202-224-2152,202-228-0400,https://www.durbin.senate.gov,https://www.durbin.senate.gov/contact/,711 Hart Senate Office Building,D000563,26847,S6IL00151,SenatorDurbin,https://youtube.com/SenatorDurbin,SenatorDurbin,1944-11-21
N00027860,Tammy Duckworth,Duckworth,ILS2,F,2016,202-224-2854,,https://www.duckworth.senate.gov,https://www.duckworth.senate.gov/content/contact-senator,524 Hart Senate Office Building,D000622,57442,H6IL06141,SenDuckworth,https://youtube.com/repduckworth,SenDuckworth,1968-03-12
N00045905,Frank Mrvan Jr,Mrvan,IN01,M,2020,202225-2461,202225-2493,https://mrvan.house.gov/,,"1607 Longworth House Office Building Washington, DC  20515",M001214,,,@RepMrvan,,,04/16/69
N00051733,Rudy Yakym,Yakym,IN02,M,2022,,,,,,,,,,,,
N00037185,Jim Banks,Banks,IN03,M,2016,202-225-4436,,https://banks.house.gov,,509 Cannon House Office Building,B001299,,,RepJimBanks,,RepJimBanks,1979-07-16
N00041954,Jim Baird,Baird,IN04,M,2018,202-225-5037,,https://baird.house.gov/,,532 Cannon House Office Building,B001307,,,,,,1945-06-04
N00046537,Victoria Spartz,Spartz,IN05,F,2020,202225-2276,,https://spartz.house.gov/,,"1523 Longworth House Office Building Washington, DC  20515",S000929,,,@RepSpartz,,,10/06/78
N00041956,Greg Pence,Pence,IN06,M,2018,202-225-3021,,https://pence.house.gov/,,222 Cannon House Office Building,P000615,,,,,,1956-11-14
N00029513,Andre Carson,Carson,IN07,M,2008,202-225-4011,202-225-5633,http://carson.house.gov,https://carson.house.gov/contact/email-me,2135 Rayburn House Office Building,C001072,84917,H8IN07184,RepAndreCarson,https://youtube.com/repandrecarson,CongressmanAndreCarson,1974-10-16
N00031227,Larry Bucshon,Bucshon,IN08,M,2010,202-225-4636,202-225-3284,https://bucshon.house.gov,https://bucshon.house.gov/contact-me/email-me,1005 Longworth House Office Building,B001275,120335,H0IN08114,RepLarryBucshon,https://youtube.com/RepLarryBucshon,RepLarryBucshon,1962-05-31
N00037427,Erin Houchin,Houchin,IN09,F,2022,,,,,,,,,,,,
N00041731,Mike Braun,Braun,INS1,M,2018,202-224-4814,,https://www.braun.senate.gov,,B85 Russell Senate Office Building,B001310,,,,,,1954-03-24
N00030670,Todd Young,Young,INS2,M,2016,202-224-5623,202-226-6866,https://www.young.senate.gov,https://www.young.senate.gov/content/contact-senator,B33 Russell Senate Office Building,Y000064,120345,H0IN09070,RepToddYoung,https://youtube.com/RepToddYoung,SenatorToddYoung,1972-08-24
N00029495,Mariannette Miller-Meeks,Miller-Meeks,IA01,F,2020,202225-6576,,https://millermeeks.house.gov/,,"1716 Longworth House Office Building, Washington, DC 20515",M001215,103294,,@RepMMM,,,09/06/55
N00044521,Ashley Hinson,Hinson,IA02,F,2020,202225-2911,,https://hinson.house.gov/,,"1429 Longworth House Office Building Washington, DC  20515",H001091,168783,,@RepAshleyHinson,,,06/27/83
N00048870,Zach Nunn,Nunn,IA03,M,2022,,,,,,,,,,,,
N00044011,Randy Feenstra,Feenstra,IA04,M,2020,202225-4426,,https://feenstra.house.gov/,,"1440 Longworth House Office Building, Washington, DC 20515",F000446,103301,,@RepFeenstra,,RepFeenstra,01/14/69
N00001758,Chuck Grassley,Grassley,IAS1,M,1980,202-224-3744,202-224-6020,https://www.grassley.senate.gov,http://www.grassley.senate.gov/contact,135 Hart Senate Office Building,G000386,53293,S0IA00028,ChuckGrassley,https://youtube.com/senchuckgrassley,grassley,1933-09-17
N00035483,Joni Ernst,Ernst,IAS2,F,2014,202-224-3254,,https://www.ernst.senate.gov/public,https://www.ernst.senate.gov/public/index.cfm/contact,111 Russell Senate Office Building,E000295,,S4IA00129,SenJoniErnst,,senjoniernst,1970-07-01
N00030743,Tracey Mann,Mann,KS01,M,2020,202225-2715,,https://mann.house.gov/,,"522 Cannon House Office Building, Washington, DC 20515",M000871,,,@RepMann,,,12/17/76
N00044232,Jake Laturner,Laturner,KS02,M,2020,202225-6601,,https://laturner.house.gov/,,"1630 Longworth House Office Building Washington, DC  20515",L000266,,,@RepLaTurner,,,02/17/88
N00042626,Sharice Davids,Davids,KS03,F,2018,202-225-2865,,https://davids.house.gov/,,1541 Longworth House Office Building,D000629,,,RepDavids,,,1980-05-22
N00040712,Ron Estes,Estes,KS04,M,2017,,,https://estes.house.gov,,,E000298,,,RepRonEstes,,RepRonEstes,1956-07-19
N00037034,Roger Marshall,Marshall,KSS1,M,2020,202-225-2715,,https://marshall.house.gov,,312 Cannon House Office Building,M001198,,,rogermarshallmd,,rogermarshallmd,1960-08-09
N00005282,Jerry Moran,Moran,KSS2,M,2010,202-224-6521,202-228-6966,https://www.moran.senate.gov,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry,521 Dirksen Senate Office Building,M000934,542,H6KS01096,JerryMoran,https://youtube.com/senatorjerrymoran,jerrymoran,1954-05-29
N00038260,James Comer,Comer,KY01,M,2016,202-225-3115,,https://comer.house.gov,,1513 Longworth House Office Building,C001108,,,KYComer,,congressmancomer,1972-08-19
N00029675,Brett Guthrie,Guthrie,KY02,M,2008,202-225-3501,202-226-2019,https://guthrie.house.gov,http://brettguthrieforms.house.gov/contact/,2434 Rayburn House Office Building,G000558,18829,H8KY02031,RepGuthrie,https://youtube.com/BrettGuthrie,CongressmanGuthrie,1964-02-18
N00049295,Morgan McGarvey,McGarvey,KY03,M,2022,,,,,,,,,,,,
N00034041,Thomas Massie,Massie,KY04,M,2012,202-225-3465,202-225-0003,https://massie.house.gov,http://massieforms.house.gov/contact/,2453 Rayburn House Office Building,M001184,132068,H2KY04121,RepThomasMassie,https://youtube.com/repthomasmassie,RepThomasMassie,1971-01-13
N00003473,Hal Rogers,Rogers,KY05,M,1980,202-225-4601,202-225-0940,http://halrogers.house.gov,https://halrogers.house.gov/contact/contactform.htm,2406 Rayburn House Office Building,R000395,26875,H0KY05015,RepHalRogers,https://youtube.com/RepHalRogers,CongressmanHalRogers,1937-12-31
N00031233,Andy Barr,Barr,KY06,M,2012,202-225-4706,,https://barr.house.gov,https://barr.house.gov/contact/email-me,1427 Longworth House Office Building,B001282,117290,H0KY06104,RepAndyBarr,https://youtube.com/RepAndyBarr,RepAndyBarr,1973-07-24
N00003389,Mitch McConnell,Mcconnell,KYS1,M,1984,202-224-2541,202-224-2499,https://www.mcconnell.senate.gov,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,317 Russell Senate Office Building,M000355,53298,S2KY00012,McConnellPress,,mitchmcconnell,1942-02-20
N00030836,Rand Paul,Paul,KYS2,M,2010,202-224-4343,202-228-1373,https://www.paul.senate.gov,https://www.paul.senate.gov/connect/email-rand,167 Russell Senate Office Building,P000603,117285,S0KY00156,SenRandPaul,https://youtube.com/SenatorRandPaul,SenatorRandPaul,1963-01-07
N00009660,Steve Scalise,Scalise,LA01,M,2008,202-225-3015,202-226-0386,http://scalise.house.gov,https://scalise.house.gov/contact-me/email-me,2338 Rayburn House Office Building,S001176,9026,H0LA01087,SteveScalise,https://youtube.com/RepSteveScalise,RepSteveScalise,1965-10-06
N00025766,Troy Carter,Carter,LA02,M,2021,,,,,,,,,,,,
N00039953,Clay Higgins,Higgins,LA03,M,2016,202-225-2031,,https://clayhiggins.house.gov,,1711 Longworth House Office Building,H001077,,,RepClayHiggins,,CongressmanCalHiggins,1961-08-24
N00039106,Mike Johnson,Johnson,LA04,M,2016,202-225-2777,,https://mikejohnson.house.gov,,327 Cannon House Office Building,J000291,,,RepMikeJohnson,,RepMikeJohnson,1972-01-30
N00047972,Julia Letlow,Letlow,LA05,F,2021,,,,,,,,,,,,
N00036135,Garret Graves,Graves,LA06,M,2014,202-225-3901,202-225-7313,https://garretgraves.house.gov,,430 Cannon House Office Building,G000577,,H4LA06153,RepGarretGraves,,CongressmanGarretGraves,1972-01-31
N00030245,Bill Cassidy,Cassidy,LAS1,M,2014,202-224-5824,202-225-7313,https://www.cassidy.senate.gov,https://www.cassidy.senate.gov/contact,520 Hart Senate Office Building,C001075,69494,H8LA00017,billcassidy,https://youtube.com/SenatorBillCassidy,billcassidy,1957-09-28
N00026823,John Kennedy,Kennedy,LAS2,M,2016,202-224-4623,,https://www.kennedy.senate.gov,https://www.kennedy.senate.gov/content/contact-senator,B11 Russell Senate Office Building,K000393,,,SenJohnKennedy,,JohnKennedyLouisiana,1951-11-21
N00013817,Chellie Pingree,Pingree,ME01,F,2008,202-225-6116,202-225-5590,https://pingree.house.gov,https://pingree.house.gov/email-me,2162 Rayburn House Office Building,P000597,6586,H8ME01120,ChelliePingree,https://youtube.com/congresswomanpingree,ChelliePingree,1955-04-02
N00041668,Jared Golden,Golden,ME02,M,2018,202-225-6306,,https://golden.house.gov,,1223 Longworth House Office Building,G000592,,,RepGolden,,,1982-07-25
N00034580,Angus King,King,MES1,M,2012,202-224-5344,202-224-1946,https://www.king.senate.gov,http://www.king.senate.gov/contact,359 Dirksen Senate Office Building,K000383,22381,S2ME00109,SenAngusKing,https://youtube.com/SenatorAngusKing,SenatorAngusSKingJr,1944-03-31
N00000491,Susan Collins,Collins,MES2,F,1996,202-224-2523,202-224-2693,http://www.collins.senate.gov,http://www.collins.senate.gov/contact,413 Dirksen Senate Office Building,C001035,379,S6ME00159,SenatorCollins,https://youtube.com/SenatorSusanCollins,susancollins,1952-12-07
N00035616,Ryan Zinke,Zinke,MT01,M,2022,202-225-3211,202-225-5687,https://zinke.house.gov,,113 Cannon House Office Building,Z000018,,H4MT01041,RepRyanZinke,,CongressmanRyanZinke,1961-11-01
N00035517,Matt Rosendale,Rosendale,MT02,M,2020,202225-3211,,https://rosendale.house.gov/,,"1037 Longworth HOB Washington, DC 20515",R000103,120815,,@RepRosendale,,,07/07/60
N00027605,Jon Tester,Tester,MTS1,M,2006,202-224-2644,202-224-8594,https://www.tester.senate.gov,https://www.tester.senate.gov/?p=email_senator,311 Hart Senate Office Building,T000464,20928,S6MT00162,SenatorTester,https://youtube.com/senatorjontester,senatortester,1956-08-21
N00033054,Steven Daines,Daines,MTS2,M,2014,202-224-2651,202-228-1236,https://www.daines.senate.gov,https://www.daines.senate.gov/connect/email-steve,320 Hart Senate Office Building,D000618,135720,H2MT01060,SteveDaines,https://youtube.com/SteveDainesMT,SteveDainesMT,1962-08-20
N00050145,Mike Flood,Flood,NE01,M,2022,,,,,,,,,,,,
N00037049,Don Bacon,Bacon,NE02,M,2016,202-225-4155,,https://bacon.house.gov,,1516 Longworth House Office Building,B001298,,,RepDonBacon,,RepDonBacon,1963-08-16
N00027623,Adrian Smith,Smith,NE03,M,2006,202-225-6435,202-225-0207,http://adriansmith.house.gov,https://adriansmith.house.gov/contact-me/email-me,320 Cannon House Office Building,S001172,21284,H6NE03115,RepAdrianSmith,https://youtube.com/RepAdrianSmith,AdrianSmithNE,1970-12-19
N00033443,Deb Fischer,Fischer,NES1,F,2012,202-224-6551,202-228-1325,https://www.fischer.senate.gov,http://www.fischer.senate.gov/public/index.cfm/contact,454 Russell Senate Office Building,F000463,41963,S2NE00094,SenatorFischer,https://youtube.com/senatordebfischer,senatordebfischer,1951-03-01
N00035544,Ben Sasse,Sasse,NES2,M,2014,202-224-4224,,https://www.sasse.senate.gov/public,http://www.sasse.senate.gov/public/index.cfm/email-ben,136 Russell Senate Office Building,S001197,,S4NE00090,SenSasse,,SenatorSasse,1972-02-22
N00027695,Pete Ricketts,Ricketts,NES2,M,2023,,,,,,,,,,,,
N00030191,Dina Titus,Titus,NV01,F,2012,202-225-5965,,https://titus.house.gov,https://titus.house.gov/contact/email-me,2464 Rayburn House Office Building,T000468,2629,H8NV03036,RepDinaTitus,https://youtube.com/CongresswomanTitus,CongresswomanTitus,1950-05-23
N00031177,Mark Amodei,Amodei,NV02,M,2011,202-225-6155,202-225-5679,https://amodei.house.gov,https://amodei.house.gov/contact-us,332 Cannon House Office Building,A000369,12537,H2NV02395,MarkAmodeiNV2,https://youtube.com/markamodeinv2,MarkAmodeiNV2,1958-06-12
N00037247,Susie Lee,Lee,NV03,F,2018,202-225-3252,,https://susielee.house.gov/,,522 Cannon House Office Building,L000590,,,RepSusieLee,,,1966-11-07
N00033638,Steven Horsford,Horsford,NV04,M,2018,202-225-9894,,http://horsford.house.gov,,1330 Longworth House Office Building,H001066,,,RepHorsford,,,1973-04-29
N00038734,Jacky Rosen,Rosen,NVS1,F,2018,202-225-3252,,https://rosen.house.gov,,413 Cannon House Office Building,R000608,,,RepJackyRosen,,RepJackyRosen,1957-08-02
N00037161,Catherine Cortez Masto,Masto,NVS2,F,2016,202-224-3542,,https://www.cortezmasto.senate.gov,https://www.cortezmasto.senate.gov/content/contact-senator,B40a Dirksen Senate Office Building,C001113,,,sencortezmasto,,SenatorCortezMasto,1964-03-29
N00042161,Chris Pappas,Pappas,NH01,M,2018,202-225-5456,,https://pappas.house.gov/,,323 Cannon House Office Building,P000614,,,,,,1980-06-04
N00030875,Ann Kuster,Kuster,NH02,F,2012,202-225-5206,202-225-2946,http://kuster.house.gov,https://kuster.house.gov/contact/email-me,137 Cannon House Office Building,K000382,122256,H0NH02181,RepAnnieKuster,https://youtube.com/RepKuster,CongresswomanAnnieKuster,1956-09-05
N00038397,Maggie Hassan,Hassan,NHS1,F,2016,202-224-3324,,https://www.hassan.senate.gov,https://www.hassan.senate.gov/content/contact-senator,B85 Russell Senate Office Building,H001076,,,Senatorhassan,,SenatorHassan,1958-02-27
N00024790,Jeanne Shaheen,Shaheen,NHS2,F,2008,202-224-2841,202-228-3194,https://www.shaheen.senate.gov,https://www.shaheen.senate.gov/contact/contact-jeanne,506 Hart Senate Office Building,S001181,1663,S0NH00219,SenatorShaheen,https://youtube.com/senatorshaheen,SenatorShaheen,1947-01-28
N00036154,Don Norcross,Norcross,NJ01,M,2014,202-225-6501,202-225-6583,https://norcross.house.gov,http://norcross.house.gov/contact,1531 Longworth House Office Building,N000188,,H4NJ01084,DonaldNorcross,,DonaldNorcrossNJ,1958-12-13
N00042164,Jeff Van Drew,Van Drew,NJ02,M,2018,202-225-6572,,https://vandrew.house.gov/,,331 Cannon House Office Building,V000133,,,,,,1953-02-23
N00041370,Andy Kim,Kim,NJ03,M,2018,202-225-4765,,https://kim.house.gov/,,1516 Longworth House Office Building,K000394,,,,,,1982-07-12
N00009816,Chris Smith,Smith,NJ04,M,1980,202-225-3765,202-225-7768,http://chrissmith.house.gov,https://chrissmith.house.gov/contact/write.htm,2373 Rayburn House Office Building,S000522,26952,H8NJ04014,RepChrisSmith,https://youtube.com/USRepChrisSmith,RepChrisSmith,1953-03-04
N00036944,Josh Gottheimer,Gottheimer,NJ05,M,2016,202-225-4465,,https://gottheimer.house.gov,,213 Cannon House Office Building,G000583,,,RepJoshG,,RepJoshG,1975-03-08
N00000781,Frank Pallone Jr.,Pallone,NJ06,M,1988,202-225-4671,202-225-9665,https://pallone.house.gov,https://pallone.house.gov/contact-me/email-me,237 Cannon House Office Building,P000034,26951,H8NJ03073,FrankPallone,https://youtube.com/repfrankpallone,repfrankpallone,1951-10-30
N00019149,Tom Kean,Kean,NJ07,M,2022,,,,,,,,,,,,
N00049686,Rob Menendez,Menendez,NJ08,M,2022,,,,,,,,,,,,
N00000751,Bill Pascrell Jr.,Pascrell,NJ09,M,1996,202-225-5751,202-225-5782,http://pascrell.house.gov,https://pascrell.house.gov/contact/email-me,2370 Rayburn House Office Building,P000096,478,H6NJ08118,BillPascrell,https://youtube.com/RepPascrell,pascrell,1937-01-25
N00034639,Donald M Payne Jr.,Payne,NJ10,M,2012,202-225-3436,202-225-4160,http://payne.house.gov,http://payne.house.gov/contact/email-me,132 Cannon House Office Building,P000604,90668,H2NJ10154,RepDonaldPayne,,DonaldPayneJr,1958-12-17
N00041154,Mikie Sherrill,Sherrill,NJ11,F,2018,202-225-5034,,https://sherrill.house.gov/,,1208 Longworth House Office Building,S001207,,,RepSherrill,,,1972-01-19
N00036158,Bonnie Watson Coleman,Coleman,NJ12,F,2014,202-225-5801,202-225-6025,https://watsoncoleman.house.gov,,1535 Longworth House Office Building,W000822,,H4NJ12149,RepBonnie,,RepBonnie,1945-02-06
N00000699,Robert Menendez,Menendez,NJS1,M,2006,202-224-4744,202-228-2197,https://www.menendez.senate.gov,https://www.menendez.senate.gov/contact,528 Hart Senate Office Building,M000639,26961,H2NJ13075,SenatorMenendez,https://youtube.com/SenatorMenendezNJ,senatormenendez,1954-01-01
N00035267,Cory Booker,Booker,NJS2,M,2013,202-224-3224,202-224-8378,https://www.booker.senate.gov,https://www.booker.senate.gov/?p=contact,359 Dirksen Senate Office Building,B001288,76151,S4NJ00185,CoryBooker,https://youtube.com/SenCoryBooker,corybooker,1969-04-27
N00047871,Melanie Stansbury,Stansbury,NM01,F,2021,,,,,,,,,,,,
N00049142,Gabe Vasquez,Vasquez,NM02,M,2022,,,,,,,,,,,,
N00044559,Teresa Leger Fernandez,Fernandez,NM03,F,2020,202225-6190,202226-1528,https://fernandez.house.gov/,,"1432 Longworth House Office Building Washington, DC  20515",L000273,,,@RepTeresaLF,,,07/01/59
N00029835,Martin Heinrich,Heinrich,NMS1,M,2012,202-224-5521,202-225-4975,https://www.heinrich.senate.gov,http://www.heinrich.senate.gov/contact,303 Hart Senate Office Building,H001046,74517,H8NM01224,MartinHeinrich,https://youtube.com/SenMartinHeinrich,MartinHeinrich,1971-10-17
N00029562,Ben Ray Lujan,Lujan,NMS2,M,2020,202-225-6190,202-226-1528,https://lujan.house.gov,https://forms.house.gov/lujan/contact-form.shtml,2231 Rayburn House Office Building,L000570,102842,H8NM03196,RepBenRayLujan,https://youtube.com/Repbenraylujan,RepBenRayLujan,1972-06-07
