,CAND_NAME,CAND_OFFICE_ST,TTL_DISB
562,"LEGNANI, ANDREW JOSEPH",CT,4194.48
563,"HREZI, MUAD",CT,586637.43
564,"LARSON, JOHN B",CT,1839194.58
565,"FAY, MARY",CT,1718.28
566,"GRIFFIN, JIM",CT,1874.3
567,"LAZOR, LAWRENCE ZIDOVSKY DR",CT,190652.21
568,"VISCONTI, JOSEPH B",CT,0.0
569,"COURTNEY, JOSEPH",CT,2491289.77
570,"DILIZIA, ANTHONY ADELINO MR.",CT,4517.0
571,"ANDERSON, JUSTIN",CT,1460.29
572,"FRANCE, MIKE",CT,853174.8
573,"DELAURO, ROSA L",CT,2176815.14
574,"LABRIOLA, JERRY JR.",CT,0.0
575,"STREICKER, MARGARET",CT,1599.75
576,"DENARDIS, LESLEY",CT,46977.86
577,"PAGLINO, JUSTIN COBB DR MD, PHD",CT,16406.94
578,"CHAI, AMY FOGELSTROM DR",CT,33875.08
579,"HIMES, JIM",CT,1802745.31
580,"GOLDSTEIN, MICHAEL",CT,235844.17
581,"STEVENSON, JAYME MRS.",CT,336547.83
582,"SHAYS, CHRISTOPHER",CT,225.0
583,"ROBERTI, DANIEL FRANCIS",CT,3091.8
584,"ESTY, ELIZABETH",CT,11770.73
585,"FURZE, MARCUS",CT,1351.43
586,"GLASSMAN, MARY",CT,0.0
587,"HAYES, JAHANA",CT,3403663.9
588,"KULA, SHANNON",CT,180.0
589,"SULLIVAN, DAVID XAVIER",CT,774.88
590,"LOGAN, GEORGE S",CT,1285255.66
591,"BOTELHO, MICHELLE L",CT,2809.26
592,"GRIFFIN, JAMES LEONARD",CT,151.75
593,"NORTON, ELEANOR HOLMES",DC,320795.31
594,"HAMILTON, WENDY REV",DC,50532.49
595,"WILLIAMS, KELLY MIKEL",DC,22702.73
596,"MAJORS, BRUCE POWELL MR.",DC,1929.25
597,"CARNEY, JOHN",DE,7.56
598,"BLUNT ROCHESTER, LISA",DE,3209566.58
599,"HILL, CHRISTOPHER BROOKS MR.",DE,0.0
600,"MURPHY, LEE",DE,355131.66
601,"CORDOVA, VINCENT DEAN MR JR",FL,0.0
602,"JONES, REBEKAH",FL,979519.0
603,"SCHILLER, MARGARET ANN MS",FL,40994.16
604,"EHR, PHILLIP CHARLES",FL,138060.28
605,"MERK, GREGORY CHARLES CHARLES",FL,10440.0
606,"JONES, BRYAN CHRISTOPHER",FL,103213.42
607,"LOMBARDO, MARK",FL,789690.0
608,"GAETZ, MATT",FL,7539779.55
609,"MILLS, RALPH JOHN III",FL,7172.26
610,"ORAM, ALBERT",FL,1038.5
611,"LAWSON, ALFRED JR",FL,940453.28
612,"DUNN, NEAL PATRICK MD, FACS",FL,1937935.45
613,"BROOKS, LINDA SUSAN MS.",FL,131149.47
614,"CHRISTENSEN, ADAM J",FL,903.5
615,"HAWK, DANIELLE NICOLE",FL,49881.27
616,"WELLS, TOM BECKWITH DR.",FL,27747.44
617,"BLACK, DEAN A",FL,20730.12
618,"WELLS, AMY POPE",FL,1690.47
619,"CAMMACK, KAT",FL,2259933.75
620,"ST. GEORGE, JAMES",FL,0.0
621,"CHAMBERLIN, RYAN MR.",FL,3346.25
622,"ENGELBRECHT, CHARLES WILLIAM MR",FL,2453.75
623,"THEUS, DAVID",FL,0.0
624,"MILLADO, JOE DALLAS",FL,1954.92
625,"WATERS, JUSTIN JAMES MR.",FL,15894.0
626,"ASENSIO, MANUEL P",FL,44645.18
627,"YOHO, THEODORE SCOTT",FL,49951.85
628,"SAPP, JUDSON",FL,7400.0
629,"STEARNS, CLIFFORD B.",FL,731295.78
630,"HILL, ANTHONY TONY",FL,35796.51
631,"HOLLOWAY, LASHONDA J",FL,0.0
632,"AGUILAR, ERICK JAVIER",FL,822308.28
633,"FISCHER, JASON",FL,52201.0
634,"BEAN, AARON P.",FL,1065302.38
635,"CHUBA, JON",FL,17053.44
636,"PUESCHEL, DEBORAH KATZ",FL,0.0
637,"BROWN, ALVIN",FL,0.0
638,"GARNER-LOPEZ, LEIGHA LUNA",FL,53806.39
639,"MACIE, MARA HEATHER",FL,21429.11
640,"RUTHERFORD, JOHN",FL,647267.7
641,"THRIPP, RICHARD",FL,7369.87
642,"SODERBERG, NANCY",FL,1836.4
643,"GALLOWAY, G.G.",FL,0.0
644,"WALTZ, MICHAEL",FL,2906229.83
645,"PASTRANA, ALLEK",FL,12585.71
646,"KRULICK, AL MR.",FL,18576.83
647,"FERNANDEZ, HLSIA TATIANA",FL,14074.31
648,"GREEN, KAREN REV. DR.",FL,32406.6
649,"MURPHY, STEPHANIE",FL,1690268.65
650,"VALENTIN, LEO",FL,17076.15
651,"ZHAO, YUKONG",FL,2956.67
652,"JACKSON, SEAN",FL,2650.0
653,"LIGGETT, JEREMY",FL,28762.38
654,"MILLS, CORY",FL,2477531.68
655,"DUKE, BRADY",FL,3114603.15
656,"CAVAGNA, JOSEPH",FL,11988.32
657,"BENFIELD, ERIKA",FL,193041.14
658,"STURGILL, SCOTT",FL,306460.54
659,"ROBERTS, RUSSELL L. MR.",FL,332570.88
660,"SANTOS, AL",FL,273893.72
661,"EDWARDS, TED",FL,810430.0
662,"SABATINI, ANTHONY",FL,1252235.93
663,"BUSCH, MARK",FL,0.0
664,"STURGILL, JONATHAN SCOTT",FL,5300.0
665,"KRULICK, AL",FL,18576.83
666,"KENNEDY, JAMES",FL,1495.69
667,"TERRY, JOANNE R",FL,89159.95
668,"DODGE, DANELLE",FL,76854.98
669,"GRAYSON, DENA MD, PHD MD, PHD",FL,1756.44
670,"WELLS, PATRICK LEE",FL,510.37
671,"POSEY, BILL",FL,704024.01
672,"PARKER, KEVIN COPELAND",FL,7500.71
673,"SOTO, DARREN",FL,1410179.97
674,"ORTIZ, SERGIO E",FL,5677.88
675,"OLSON, WILLIAM",FL,151085.47
676,"CASTILLO, JOSE",FL,107828.37
677,"WRIGHT, CHRISTOPHER ROBERT",FL,590.94
678,"HITES, BECKY E",FL,0.0
679,"MOORE, SCOTTY",FL,599213.36
680,"ANTHONY, MARLIN DANIEL",FL,32450.23
681,"MORALES, ADIANIS",FL,19269.6
682,"DEMINGS, VALDEZ 'VAL'",FL,81065470.43
683,"JACKSON, NATALIE",FL,110805.47
684,"AYALA, ARAMIS",FL,205978.54
685,"BRACY, RANDOLPH",FL,545956.89
686,"ACHENBACH, JACK JOSEPH",FL,5860.99
687,"GRAY, TERENCE R MR. I",FL,334265.25
688,"TACHON, TERESA DR.",FL,10681.84
689,"FROST, MAXWELL ALEJANDRO",FL,2582449.9
690,"BOONE, JEFFREY MR.",FL,48817.62
691,"BROWN, CORRINE",FL,75316.42
692,"GRAYSON, ALAN MARK",FL,856254.54
693,"MONTAGUE, WILLIE",FL,211039.41
694,"JONES, LATERESA ANN",FL,17683.07
695,"LE, TUAN A",FL,35598.08
696,"RAMBARANSINGH, MAHENDRANATH TROY",FL,11879.28
697,"KING, WILLIAM",FL,698.14
698,"WIMBISH, CALVIN B MR",FL,249144.76
699,"WEED, PETER",FL,19350.0
700,"LOWE, THUY",FL,31993.23
701,"FRANCOIS, VENNIA V.",FL,10298.96
702,"HOLIC, JASON KYLE",FL,10419.38
703,"JAIN, USHA DR.",FL,4468.09
704,"MUNNS, SHANTE",FL,20677.59
705,"WEBSTER, DANIEL",FL,754477.27
706,"BUNTYN, TONY",FL,0.0
707,"LOOMER, LAURA",FL,872308.62
708,"SORIANO, GAVRIEL ELIYAHU",FL,26393.86
709,"SKINNER, JEANNETTE RENEE",FL,28889.71
710,"PORTER, KEVIN DEAN",FL,14732.39
711,"WALKER, KIMBERLY H MS",FL,21911.66
712,"CARNEVALE, MICHAEL",FL,5529.12
713,"LEISER, CHRISTOPHER MR.",FL,17282.7
714,"BILIRAKIS, GUS M",FL,1770681.59
715,"MARTIN, JACK",FL,1752.98
716,"DIAMOND, BEN",FL,793556.3
717,"RAYNER, MICHELE K. MS.",FL,566663.51
718,"LYNN, ERIC",FL,2071108.94
719,"CRIST, CHARLIE JOSEPH",FL,862258.48
720,"GRIFFIN, SHEILA",FL,0.0
721,"MAKKI, AMANDA",FL,827597.15
722,"PAULINA LUNA, ANNA",FL,3362825.07
723,"BRADDOCK, WILL",FL,0.0
724,"KHEIREDDINE, MONEER",FL,15075.0
725,"HENSON, AUDREY",FL,317931.35
726,"HAYSLETT, KEVIN",FL,1729097.32
727,"QUINN, CHRISTINE YVONNE",FL,45668.12
728,"BUCK, GEORGE WILLIAM PHD",FL,2447.34
729,"CRAFT, FRANK S",FL,15522.03
730,"OVERBY, LUCAS",FL,0.0
731,"BRADLEY, CHRISTOPHER",FL,32809.86
732,"CASTOR, KATHY",FL,1623822.77
733,"URBINA, ANGEL SALVADOR",FL,5075.0
734,"JUDGE, JAMES",FL,214963.79
735,"NASHAGH, SAM",FL,17530.93
736,"CHAMBERS, CHRIS",FL,10571.0
737,"TORRES, JERRY",FL,654224.67
738,"PHILIPPE, JESSE",FL,7214.87
739,"HATTERSLEY, ADAM ROGER",FL,2960.29
740,"VANHORN, WILLIAM",FL,19232.14
741,"RAMCHARRAN, LILAWATIE LILY MRS.",FL,14784.26
742,"GELLER, EDDIE",FL,554194.09
743,"BROWN, GAVIN",FL,26646.0
744,"RAMIREZ, CESAR",FL,10701.31
745,"COHN, ALAN",FL,855791.84
746,"ROSS, DENNIS ALAN",FL,192471.0
747,"MCGOVERN, KEVIN JOHN",FL,491044.52
748,"TOLEDO, JACKIE",FL,598775.29
749,"ROSS, DENNIS",FL,192471.0
750,"STARGEL, KELLI",FL,360993.0
751,"LEE, LAUREL MRS.",FL,1412802.82
752,"SPANO, VINCENT ROSS",FL,26434.62
753,"GRIMES, DEMETRIES ANDREW CDR USN RET",FL,421920.23
754,"GOOD, MARGARET ELIZABETH ROWELL",FL,4155.46
755,"SCHNEIDER, JAN",FL,45817.98
756,"HYDE, MARTIN",FL,218209.79
757,"FOLEY, MARK A",FL,501509.37
758,"BUCHANAN, VERNON",FL,3173994.96
759,"ELLISON, ALLEN",FL,96175.11
760,"KALE, ANDREA DORIA",FL,23269.4
761,"ELLISON, ALLEN L",FL,82834.52
762,"STEUBE, GREG",FL,947188.1
763,"KEITH, PAMELA M.",FL,8123.24
764,"CHANE, JONATHAN",FL,0.0
765,"FRANKLIN, SCOTT MR.",FL,766695.11
766,"SHEPHERD, GEORGE",FL,2512.26
767,"RAYBON, JENNIFER SUSAN",FL,137733.54
768,"SCHMELING, WENDY JUNE MS.",FL,23238.38
769,"SERRATORE, LEONARD LOUIS MR.",FL,33821.71
770,"SPALDING, CARLA ARLENE",FL,1960876.32
771,"HAYDEN, KEITH R. JR",FL,0.0
772,"BANYAI, CINDY LYN",FL,99369.13
773,"FIGLESTHALER, WILLIAM MATTHEW MD",FL,15490.52
774,"O'CONNELL, FORD",FL,26579.13
775,"ASKAR, CASEY",FL,21.5
776,"DONALDS, BYRON",FL,5400519.91
777,"HUFF, JIM",FL,18050.74
778,"BENACQUISTO, LIZBETH",FL,0.0
779,"ROONEY, FRANCIS",FL,6731.49
780,"VILME, PRADEL",FL,52750.0
781,"SHARIEF, BARBARA",FL,1021180.52
782,"DOWLING, ELVIN",FL,78323.81
783,"HOLNESS, DALE",FL,1202144.8
784,"TAYLOR, PRISCILLA ANN",FL,66410.21
785,"THURSTON, PERRY",FL,548962.59
786,"DUBOSE, BOBBY B",FL,434582.35
787,"HARDY, OMARI",FL,206765.95
788,"JACKSON, PHIL",FL,21643.95
789,"HASTINGS, ALCEE L",FL,150681.66
790,"CHERFILUS-MCCORMICK, SHEILA",FL,6815741.15
791,"MUSSELWHITE, GREGORY WAYNE SR.",FL,15968.64
792,"DEGRAMMONT, VIC",FL,26462.72
793,"MARINER, JASON",FL,127101.6
794,"CLARK, DREW-MONTEZ DR.",FL,141482.18
795,"TER MAAT, MICHAEL",FL,50469.73
796,"BALDERRAMOS ROBINSON, CORINNA",FL,66504.32
797,"SCANLAN, AARON",FL,0.0
798,"MARTZ, MELISSA",FL,343424.84
799,"FEIT, KEITH DR.",FL,15651.19
800,"BUONGIORNO, JEFFREY D",FL,262684.65
801,"SKRBIC, LJUBO DR",FL,32469.64
802,"MARKS, MARTIN J.",FL,189872.94
803,"MAST, BRIAN",FL,5218760.88
804,"TROUT, W. MICHAEL ""MIKE""",FL,1263.95
805,"MALKEMUS, CHARLESTON",FL,441.46
806,"DEUTCH, THEODORE ELIOT",FL,673921.42
807,"FRANKEL, LOIS J.",FL,1799753.83
808,"CALABRESE, CURTIS",FL,10021.63
809,"SWAFFAR, DARLENE",FL,0.0
810,"FLYNN, FRAN",FL,2159.7
811,"DORILAS, ROD MR.",FL,576672.53
812,"FRANZESE, DANIEL JOHN",FL,1606217.92
813,"ADEIMY, DEBORAH",FL,202087.17
814,"ARIANAS, PETER STEVEN",FL,59545.89
815,"WHEELEN, WILLIAM",FL,37908.73
816,"LAWLOR, CARRIE",FL,17689.75
817,"O'ROURKE, MICHAEL JOSEPH",FL,0.0
818,"KIMAZ, NICOLAS T MR.",FL,180.67
819,"WALTERS, EDDISON T DR.",FL,0.0
820,"PERELMAN, JENNIFER PILCHICK",FL,257.4
821,"MOSKOWITZ, JARED",FL,1651890.16
822,"SORENSEN, BEN",FL,824156.81
823,"HOLZHAUER, HAVA",FL,116715.41
824,"HAMILTON, MICHAELANGELO COLLINS",FL,10979.99
825,"TROUT, W MICHAEL",FL,1263.95
826,"ELLISON, ALLEN",FL,13340.59
827,"PRUDEN, JAMES L.",FL,230558.76
828,"MENDELSON, RICHARD",FL,560.0
829,"KAUFMAN, JOSEPH ""JOE""",FL,1328.85
830,"MCLAUGHLIN, CHRISTY",FL,25999.29
831,"CHESS, STEVEN",FL,84295.49
832,"SWAFFAR, DARLENE",FL,271747.22
833,"BUDD, JOE",FL,171126.62
834,"PERRONE, MYLES",FL,12601.11
835,"SWEZY, LEWIS",FL,0.0
836,"REYES, CARLOS JOSE JR.",FL,0.0
837,"SCOTT, CHRISTINE",FL,102745.14
838,"NAPIER, MARK NOAH",FL,28535.94
839,"WILSON, FREDERICA S.",FL,472132.57
840,"HARRIS, KEVIN COREY",FL,18418.85
841,"EDMONSON, AUDREY",FL,33280.82
842,"SPICER, LAVERN",FL,288523.61
843,"ALMONTE, MELINDA",FL,11025.0
844,"GONZALEZ, PATRICIA",FL,48.1
845,"NAVARRO, JESUS",FL,15910.7
846,"OLIVO, CHRISTINE ALEXANDRIA",FL,131107.15
847,"GENTLE, ADAM",FL,91600.44
848,"MILLWEE, ROBERT",FL,20820.18
849,"WASSERMAN SCHULTZ, DEBBIE",FL,1863026.33
850,"BARZEE FLORES, MARY",FL,0.0
851,"AQUINO, DARREN DIONE MR.",FL,25300.43
852,"SPALDING, CARLA A",FL,1960876.32
853,"YOUNG, RUBIN MR.",FL,17697.74
854,"OLIVO, CHRISTINE ALEXANDRIA",FL,131107.15
855,"MUCARSEL-POWELL, DEBBIE",FL,22406.65
856,"RIVERA, DAVID",FL,870.78
857,"DIAZ-BALART, MARIO",FL,1467060.43
858,"SWANSON, RUTH ANN",FL,4266.52
859,"MISIGOY, DENNIS",FL,14838.08
860,"MONTALVO, ANGEL",FL,27421.12
861,"PEREZ, JANELLE",FL,224152.2
862,"RUSSELL, KEN",FL,1790780.72
863,"HIGGINS, EILEEN",FL,0.0
864,"TADDEO, ANNETTE",FL,1851329.79
865,"ROSEN GONZALEZ, KRISTEN",FL,8737.17
866,"RODRIGUEZ, JOSE JAVIER",FL,636.0
867,"RICHARDSON, DAVID",FL,-134.69
868,"RUSSELL, KEN",FL,1958.18
869,"POLO, FRANK",FL,25206.22
870,"FERRER, GABRIEL A",FL,353.0
871,"SALAZAR, MARIA ELVIRA",FL,5578993.99
872,"ASENCIO, ROBERT",FL,105813.33
873,"GIMENEZ, CARLOS",FL,1316225.33
874,"SCHAFFER, JEREMIAH",FL,30244.98
875,"MARTINEZ GARIN, CARLOS A MR",FL,22315.87
876,"FAAS, SOURAYA",FL,0.0
877,"GRIGGS, JOYCE MARIE",GA,44856.37
878,"HERRING, WADE WILKES MR. II",GA,1391152.16
879,"PALIMENO, JOSEPH",GA,0.0
880,"MUNROE, MICHELLE",GA,88178.66
881,"RING, LISA M. MS.",GA,0.0
882,"MERRITT, DANIEL",GA,89.7
883,"CARTER, EARL LEROY",GA,1968013.19
884,"BISHOP, SANFORD",GA,3075964.33
885,"O'HARA, JOSEPH",GA,5220.0
886,"COLE, DONALD EUGENE",GA,2302.22
887,"TAYLOR, TRACY",GA,1846.0
888,"WEST, CHRISTOPHER CHRIS",GA,998457.24
889,"JOHNSON, ARTHUR WAYNE",GA,593025.15
890,"ROBERTSON, RICHARD M",GA,21878.62
891,"HUNT, JEREMY",GA,989880.06
892,"CHILDS, VIVIAN LOUISE",GA,21127.86
893,"ALMONORD, VALBRUN DR.",GA,50974.16
894,"CRANE, MICHAEL ROBERT",GA,0.0
895,"CRAIG, JARED",GA,41657.58
896,"FERGUSON, ANDERSON DREW IV",GA,3346819.27
897,"JOHNSON, HENRY C. 'HANK'",GA,650429.83
898,"CRUZ, JOHSIRA C MRS",GA,0.0
899,"IVY, SURREA MRS.",GA,0.0
900,"WILLIAMS, NIKEMA NATASSHA",GA,1316110.02
901,"HALL, KWANZA",GA,23805.06
902,"FRANKLIN, ROBERT DR.",GA,30301.34
903,"STOVALL, VALENCIA",GA,7322.42
904,"MACBAGITO, CHARLOTTE",GA,8220.0
905,"LEWIS, JOHN R",GA,2761148.87
906,"STANTON KING, ANGELA",GA,8021.31
907,"ZIMM, CHRISTIAN GERARD",GA,24845.22
908,"WHITE, WAYNE C",GA,5673.96
909,"CHRISTIAN, ROBERT FRANKLIN MR. III",GA,319048.18
910,"REUTER, KIMBERLY ANN CLARK",GA,4227.06
911,"OSSOFF, T. JONATHAN",GA,182862.17
912,"KEATLEY, RICHARD",GA,0.0
913,"KAPLE, BOBBY",GA,0.0
914,"GRIFFIN, STEVEN KNIGHT",GA,0.0
915,"RODDEN, NICOLE",GA,7800.22
916,"HARBIN, BLAKE",GA,227211.73
917,"BARTHELEMY, MYKEL LYNN",GA,0.0
918,"SMITH, PAULETTE MISS",GA,2138.89
919,"MCCORMICK, RICHARD DEAN DR.",GA,4408368.92
920,"EARLS, HAROLD",GA,488639.39
921,"WELSH, ERIC MICHAEL",GA,29594.86
922,"STAPLES, MARY MALLORY",GA,807367.67
923,"EVANS, JAKE",GA,1992683.62
924,"HANSON, MEAGAN MYERS",GA,525478.29
925,"VOYLES, SUSAN",GA,136897.08
926,"GATEWOOD, BYRON",GA,106651.0
927,"YU, EUGENE",GA,70672.38
928,"PROFIT, JOSEPH REV.",GA,0.0
929,"GRAY, BOB",GA,68.21
930,"HANDEL, KAREN CHRISTINE",GA,47357.24
931,"ISLAM, NABILAH AISHAH",GA,4571.28
932,"EAVES, JOHN H DR.",GA,0.0
933,"KARINSHAK, ZAHRA S.",GA,62192.29
934,"MCLEOD, DONNA THERESA MS.",GA,67604.0
935,"MCBATH, LUCIA KAY MS.",GA,4938193.28
936,"BOURDEAUX, CAROLYN",GA,3375738.56
937,"GONSALVES, MARK",GA,564475.64
938,"BABBAGE, LISA NOEL DR.",GA,3196.0
939,"DESVIGNES, ELFREDA",GA,11877.43
940,"CORBIN, MICHAEL",GA,17110.58
941,"GEORGE, YAHANSEH YG NYGHTSTORM",GA,64363.62
942,"MCCOY, LISA",GA,10283.73
943,"WEST, MARY",GA,82610.92
944,"BUTLER, DARRIUS MAURICE",GA,24160.05
945,"SCOTT, JAMES AUSTIN",GA,767855.97
946,"REECE, MICHAEL MR.",GA,0.0
947,"COOPER, JAMES L III",GA,700.85
948,"MOSLEY, MARK",GA,123.16
949,"FORD, MICHAEL C. MR.",GA,38718.49
950,"MCCALL, JOSHUA BRAXTON",GA,192.0
951,"TANNER, KEVIN",GA,3828.33
952,"GURTLER, MATT",GA,904.53
953,"CLYDE, ANDREW",GA,702363.61
954,"CATES, CHRISTOPHER U MD",GA,0.0
955,"COLLINS, DOUGLAS ALLEN",GA,5600.11
956,"SOUTHER, BENJAMIN ODUM",GA,97571.7
957,"HOWARD, JON GREGORY",GA,7065.52
958,"HATCHER, PHYLLIS D",GA,35361.62
959,"FORE, JESSICA ALLISON",GA,6220.0
960,"MONTGOMERY, CHALIS POMEROY",GA,0.0
961,"JOHNSON-GREEN, TABITHA",GA,48389.65
962,"HICE, JODY",GA,250464.54
963,"SIMPSON, STEPHEN K MR.",GA,0.0
964,"MCMAIN, MARC",GA,667444.2
965,"BARR, TIMOTHY",GA,662916.17
966,"ALVEY, ANDREW",GA,2173.74
967,"CURRY, DAVID",GA,709674.0
968,"SIMS, ALAN",GA,703865.17
969,"SWAN, MITCHELL",GA,301988.0
970,"WITT, PATRICK J",GA,553643.1
971,"RICHARDS, MATT",GA,326790.94
972,"HEUSSNER, TODD",GA,16645.0
973,"JONES, VERNON",GA,532489.09
974,"COLLINS, MICHAEL A JR",GA,1252497.79
975,"BROUN, PAUL",GA,534681.58
976,"BARRETT, DANA",GA,9648.32
977,"NUCKOLLS, HADEN ASHER",GA,0.0
978,"KILPATRICK, HEATHER",GA,35315.9
979,"CANNON, BEAU ALEXANDER RYAN MR",GA,1630.85
980,"DAZA-FERNANDEZ, ANTONIO MIGUEL",GA,102104.07
981,"LOUDERMILK, BARRY",GA,875568.95
982,"DAVIS, ANGELA GRACE",GA,738.17
983,"JOHNSON, ELIZABETH",GA,193938.25
984,"MCLEOD, DANIEL WRIGHT",GA,60.0
985,"ALLEN, RICHARD W",GA,778377.83
986,"SINGLETON, NEIL",GA,0.0
987,"SCOTT, DAVID ALBERT",GA,1741814.46
988,"BAKER, MARK",GA,118574.16
989,"FORT, VINCENT",GA,66208.81
990,"HITES, BECKY E",GA,573.72
991,"GONZALES, CAESAR",GA,18511.88
992,"PLOTKY, CALINA",GA,17246.66
993,"HAWKINS, DOMINIKA",GA,5520.0
994,"COWEN, MARTIN LINDSEY MR. III",GA,2868.83
995,"VAN AUSDAL, KEVIN",GA,23745.16
996,"CONNER, LATEEFAH B.",GA,98223.59
997,"FLOWERS, MARCUS",GA,16349414.34
998,"MCCORMACK, HOLLY",GA,1874401.17
999,"DAVIS, WENDY",GA,524060.17
1000,"GREENE, MARJORIE TAYLOR MRS.",GA,10611564.14
1001,"COWAN, JOHN DR.",GA,11767.72
1002,"BARGE, JOHN D",GA,0.0
1003,"LAUGHRIDGE, MATTHEW",GA,20.0
1004,"CLAY, MARK DANIEL",GA,6000.0
1005,"STRAHAN, JENNIFER",GA,413088.16
1006,"LUTIN, CHARLES DAVID DOCTOR",GA,26717.28
1007,"CUNNINGHAM, ERIC B",GA,2261.94
1008,"HAYGOOD, WALTER JAMES",GA,14484.35
1009,"SYNSTELIEN, SETH",GA,11265.12
1010,"PENCE, ANGELA",GA,4410.58
1011,"UNDERWOOD, ROBERT ANACLETUS",GU,29.0
1012,"UNDERWOOD, ROBERT ANACLETUS",GU,29.0
1013,"NELSON, TELENA C.",GU,18742.84
1014,"PAT, JUDITH T WON",GU,88547.3
1015,"SAN NICOLAS, MICHAEL F.Q. MR.",GU,19183.55
1016,"CASTRO, WILLIAM MENDIOLA",GU,0.0
1017,"MOYLAN, JAMES C.",GU,109641.16
1018,"ALCUBILLA, SERGIO JOSEPHUS MR. III",HI,101128.64
1019,"CASE, EDWARD",HI,667444.59
1020,"TAKAI, KYLE MARK",HI,1500.0
1021,"CHIN, DOUG",HI,0.0
1022,"CURTIS, RON",HI,0.0
1023,"KRESS, CONRAD",HI,80988.61
1024,"CAVASSO, CAMPBELL",HI,0.0
1025,"MATSUNAGA, MATTHEW",HI,0.0
1026,"KAHELE, KAIALI'I",HI,678017.42
1027,"GABBARD, TULSI",HI,11337.79
1028,"WATERS, TOMMY",HI,10783.19
1029,"TOKUDA, JILL NAOMI",HI,815909.63
1030,"BRANCO, PATRICK PIHANA",HI,185979.32
1031,"GI, NICOLE",HI,8785.45
1032,"HANNEMANN, MULIUFI F 'MUFI'",HI,17361.41
1033,"AKANA, JOSEPH",HI,70545.33
1034,"WEBSTER, JOSEPH E.",HI,62472.86
1035,"BOHANNAN, CHRISTINA",IA,3168097.69
1036,"FINKENAUER, ABBY",IA,51254.65
1037,"BLUM, RODNEY",IA,0.0
1038,"KUEHL, KYLE",IA,19964.0
1039,"MILLER-MEEKS, MARIANNETTE JANE",IA,4848469.42
1040,"HART, RITA",IA,293751.16
1041,"MATHIS, ELIZABETH",IA,4202083.74
1042,"KERNER, JOSEPH",IA,4760.95
1043,"LOEBSACK, DAVID WAYNE",IA,47710.74
1044,"ARENHOLZ, ASHLEY HINSON",IA,7240153.62
1045,"SCHILLING, ROBERT TODD",IA,0.0
1046,"PETERS, CHRISTOPHER",IA,0.0
1047,"ADAMS, DESMUND DOUGLAS",IA,0.0
1048,"AXNE, CINDY",IA,7246582.43
1049,"ZAUN, BRAD",IA,0.0
1050,"HANUSA, MARY ANN",IA,118409.44
1051,"HASSO, NICOLE",IA,620393.63
1052,"NUNN, ZACH",IA,2502652.56
1053,"YOUNG, DAVID",IA,27540.55
1054,"SCHMETT, KIM",IA,0.0
1055,"YOUNG, DAVID",IA,26316.78
1056,"MELTON, RYAN MICHAEL APPLETON",IA,48879.39
1057,"RICHARDS, BRET A DR.",IA,8.56
1058,"FEENSTRA, RANDALL",IA,1817811.33
1059,"REEDER, STEVEN",IA,0.0
1060,"KING, STEVE MR.",IA,76669.66
1061,"CAMPBELL, MATTHEW",IA,0.0
1062,"PETERSON, KAYLEE JADE",ID,67139.54
1063,"JONES, NICHOLAS",ID,0.0
1064,"LENNEY, BRIAN",ID,5991.21
1065,"SALI, WILLIAM T.",ID,0.0
1066,"FULCHER, RUSSELL",ID,455318.91
1067,"SNYDER, MICHAEL",ID,0.0
1068,"MALEK, LUCAS TODD",ID,600.0
1069,"NORMAN, WENDY ANN",ID,9234.54
1070,"SWISHER, CARLTON AARON",ID,7850.57
1071,"SMITH, BRYAN",ID,884019.94
1072,"SIMPSON, MICHAEL",ID,1661520.3
1073,"MATTHEWS, AMEENA",IL,33852.71
1074,"RUSH, BOBBY LEE",IL,319620.61
1075,"COLE, JAHMAL",IL,156064.48
1076,"TAYLOR, KIRBY JEROME BIRGANS- MR.",IL,16601.31
1077,"THOMPSON, MICHAEL ANTHONY",IL,35210.03
1078,"BUTLER, CHRISTOPHER",IL,148501.2
1079,"NIX, DARIUS YOREL DEE",IL,2184.4
1080,"GOODRUM, CASSANDRA ATTORNEY",IL,25942.68
1081,"SPAULDING, STEPHANY ROSE",IL,116875.06
1082,"DOWELL, PATRICIA R",IL,459269.38
1083,"COLLINS, JACQUELINE",IL,249769.53
1084,"SWAIN, JONATHAN",IL,570531.88
1085,"JACKSON, JONATHAN",IL,735479.36
1086,"NORINGTON-REAVES, KARIN M",IL,548413.84
1087,"WILLIAMS, CHARISE A",IL,164358.89
1088,"PIPPION MCGRIFF, NYKEA",IL,105617.68
1089,"ROSNER, TERRE LAYNG",IL,16606.13
1090,"WHITE, PHILANISE",IL,4180.81
1091,"CARLSON, ERIC JOSEPH MR.",IL,5250.33
1092,"KELLY, ROBIN",IL,1280809.68
1093,"RAMOS, ASHLEY",IL,4403.0
1094,"MATTHEW, ABRAHAM THOMAS",IL,5679.74
1095,"VILLEGAS, GILBERT",IL,1117767.37
1096,"RAMIREZ, DELIA",IL,829547.74
1097,"CHEHADE, IYMEN",IL,155494.07
1098,"AGUIRRE, JUAN ENRIQUE",IL,10752.05
1099,"LIPINSKI, DANIEL WILLIAM WILLIAM",IL,79406.01
1100,"FRICILONE, MIKE",IL,17190.65
1101,"BURAU, JUSTIN",IL,25999.79
1102,"GARCIA, JESUS",IL,1010313.84
1103,"FLORES, SOL",IL,0.0
1104,"HERSHEY, EDWARD",IL,1041.0
